n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
2,0.05,1,1,1,1.0471975511966,320556,157056,106993,53679,10000,1491
2,0.05,1,1.19431718340557,1,0.930842267730309,277994,137177,82355,41600,10000,1126
2,0.05,1,1.37248327573747,1,0.81448698426402,254324,125546,66361,33442,10000,903
2,0.05,1,1.53208888623796,1,0.698131700797732,234613,115536,52362,26536,10000,727
2,0.05,1,1.67097562282587,1,0.581776417331443,218759,108541,40276,20536,10000,517
2,0.05,1,1.78726528064682,1,0.465421133865154,204187,100763,30218,15170,10000,326
2,0.05,1,1.87938524157182,1,0.349065850398866,194574,96416,21429,11056,10000,209
2,0.05,1,1.94608974115965,1,0.232710566932577,189408,93595,14051,7320,10000,105
2,0.05,1,1.98647671548389,1,0.116355283466289,187534,92650,6999,3627,10000,24
2,0.05,1,2,1,0,188286,92769,907,637,10000,3
